name,category_name,brand_name,item_condition_id,shipping,item_description,price
Product 173,Beauty/Makeup,Dell,4,0,Great quality item number 173,13.63
Product 174,Home/Kitchen,Generic,3,1,Great quality item number 174,38.43
Product 175,Toys/Games,HP,2,0,Great quality item number 175,42.54
Product 176,Clothing/Tops,Generic,3,1,Great quality item number 176,102.88
Product 177,Sports/Outdoors,Adidas,2,1,Great quality item number 177,73.94
Product 178,Electronics/Phones,Generic,2,1,Great quality item number 178,31.43
Product 179,Clothing/Shoes,Samsung,5,0,Great quality item number 179,33.33
Product 180,Toys/Games,Samsung,1,1,Great quality item number 180,19.9
Product 181,Clothing/Shoes,Apple,5,0,Great quality item number 181,113.48
Product 182,Toys/Educational,Nike,1,1,Great quality item number 182,79.59
Product 183,Books/Fiction,Samsung,1,0,Great quality item number 183,6.3
Product 184,Sports/Outdoors,Samsung,5,0,Great quality item number 184,18.96
Product 185,Sports/Outdoors,Adidas,4,0,Great quality item number 185,20.38
Product 186,Toys/Games,HP,5,0,Great quality item number 186,14.41
Product 187,Home/Furniture,Puma,3,0,Great quality item number 187,22.43
Product 188,Toys/Games,Unknown,3,1,Great quality item number 188,22.98
Product 189,Clothing/Shoes,HP,3,0,Great quality item number 189,50.0
Product 190,Toys/Games,Nike,3,0,Great quality item number 190,77.34
Product 191,Sports/Outdoors,Generic,1,1,Great quality item number 191,27.51
Product 192,Home/Furniture,Nike,1,0,Great quality item number 192,13.92
Product 193,Clothing/Tops,Samsung,5,0,Great quality item number 193,28.03
Product 194,Books/Educational,Sony,2,0,Great quality item number 194,10.88
Product 195,Home/Kitchen,Dell,2,0,Great quality item number 195,17.97
Product 196,Electronics/Computers,Generic,1,0,Great quality item number 196,27.98
Product 197,Beauty/Makeup,Nike,4,1,Great quality item number 197,95.94
Product 198,Toys/Games,HP,1,1,Great quality item number 198,23.98
Product 199,Toys/Educational,Apple,4,1,Great quality item number 199,5.31
Product 200,Beauty/Skincare,Dell,2,1,Great quality item number 200,8.5
Product 201,Books/Fiction,Zara,1,1,Great quality item number 201,20.26
Product 202,Books/Educational,H&M,5,1,Great quality item number 202,10.55
Product 203,Home/Kitchen,Zara,3,1,Great quality item number 203,16.71
Product 204,Home/Kitchen,Samsung,2,1,Great quality item number 204,66.47
Product 205,Home/Kitchen,Puma,1,0,Great quality item number 205,39.99
Product 206,Home/Kitchen,Adidas,1,0,Great quality item number 206,35.31
Product 207,Clothing/Shoes,HP,3,1,Great quality item number 207,19.99
Product 208,Toys/Educational,Nike,2,0,Great quality item number 208,49.26
Product 209,Toys/Educational,Apple,5,0,Great quality item number 209,199.31
Product 210,Home/Furniture,Dell,5,1,Great quality item number 210,17.16
Product 211,Beauty/Makeup,HP,5,0,Great quality item number 211,38.06
Product 212,Sports/Outdoors,Unknown,2,0,Great quality item number 212,11.77
Product 213,Home/Kitchen,Sony,5,0,Great quality item number 213,8.11
Product 214,Beauty/Skincare,Generic,4,0,Great quality item number 214,111.41
Product 215,Sports/Outdoors,Unknown,1,1,Great quality item number 215,11.84
Product 216,Toys/Educational,Adidas,4,1,Great quality item number 216,8.25
Product 217,Electronics/Phones,Nike,2,0,Great quality item number 217,24.78
Product 218,Electronics/Phones,Zara,5,1,Great quality item number 218,40.76
Product 219,Beauty/Skincare,H&M,5,1,Great quality item number 219,5.01
Product 220,Home/Furniture,Dell,5,1,Great quality item number 220,20.29
Product 221,Toys/Educational,Generic,3,1,Great quality item number 221,24.02
Product 222,Beauty/Skincare,Puma,3,1,Great quality item number 222,25.39
Product 223,Clothing/Shoes,Generic,5,1,Great quality item number 223,20.4
Product 224,Toys/Games,HP,1,0,Great quality item number 224,9.98
Product 225,Beauty/Skincare,Unknown,3,1,Great quality item number 225,42.42
Product 226,Clothing/Tops,Unknown,2,0,Great quality item number 226,35.44
Product 227,Sports/Outdoors,Sony,5,1,Great quality item number 227,6.01
Product 228,Books/Educational,H&M,1,1,Great quality item number 228,32.7
Product 229,Sports/Fitness,Samsung,3,1,Great quality item number 229,46.92
Product 230,Home/Furniture,Nike,2,1,Great quality item number 230,9.04
Product 231,Beauty/Skincare,H&M,3,0,Great quality item number 231,48.15
Product 232,Toys/Educational,Nike,2,1,Great quality item number 232,14.03
Product 233,Books/Fiction,Unknown,5,0,Great quality item number 233,38.97
Product 234,Electronics/Phones,Dell,1,0,Great quality item number 234,38.18
Product 235,Clothing/Tops,H&M,4,1,Great quality item number 235,30.02
Product 236,Beauty/Makeup,Nike,3,0,Great quality item number 236,12.56
Product 237,Home/Kitchen,Dell,1,1,Great quality item number 237,14.61
Product 238,Sports/Fitness,Samsung,4,0,Great quality item number 238,24.21
Product 239,Home/Furniture,Nike,5,0,Great quality item number 239,5.81
Product 240,Books/Educational,Apple,2,1,Great quality item number 240,21.16
Product 241,Sports/Fitness,H&M,5,1,Great quality item number 241,40.47
Product 242,Beauty/Skincare,Adidas,1,1,Great quality item number 242,5.07
Product 243,Clothing/Shoes,Nike,1,0,Great quality item number 243,45.29
Product 244,Electronics/Phones,Puma,3,0,Great quality item number 244,21.92
Product 245,Toys/Educational,Zara,4,1,Great quality item number 245,25.02
Product 246,Electronics/Phones,H&M,4,0,Great quality item number 246,12.53
Product 247,Beauty/Makeup,Sony,3,0,Great quality item number 247,21.04
Product 248,Clothing/Shoes,H&M,5,1,Great quality item number 248,26.15
Product 249,Home/Kitchen,Zara,4,0,Great quality item number 249,120.58
Product 250,Toys/Educational,Dell,5,0,Great quality item number 250,33.99
Product 251,Sports/Outdoors,Adidas,2,0,Great quality item number 251,34.87
Product 252,Electronics/Computers,Sony,1,0,Great quality item number 252,178.88
Product 253,Clothing/Tops,Nike,2,1,Great quality item number 253,6.1
Product 254,Electronics/Phones,Apple,3,1,Great quality item number 254,66.5
Product 255,Books/Fiction,H&M,4,0,Great quality item number 255,51.96
Product 256,Electronics/Phones,Puma,2,0,Great quality item number 256,6.45
Product 257,Sports/Fitness,Dell,1,0,Great quality item number 257,22.51
Product 258,Electronics/Phones,Apple,4,0,Great quality item number 258,26.85
Product 259,Home/Furniture,Zara,5,1,Great quality item number 259,6.0
Product 260,Electronics/Phones,HP,4,1,Great quality item number 260,22.83
Product 261,Electronics/Computers,Sony,1,0,Great quality item number 261,68.69
Product 262,Electronics/Computers,Adidas,4,0,Great quality item number 262,5.86
Product 263,Home/Kitchen,Sony,2,1,Great quality item number 263,57.83
Product 264,Books/Educational,Adidas,3,0,Great quality item number 264,59.71
Product 265,Sports/Outdoors,Dell,2,0,Great quality item number 265,5.08
Product 266,Books/Fiction,Generic,4,1,Great quality item number 266,76.92
Product 267,Electronics/Phones,Adidas,5,1,Great quality item number 267,42.71
Product 268,Electronics/Phones,Apple,4,1,Great quality item number 268,89.39
Product 269,Clothing/Tops,Dell,1,0,Great quality item number 269,84.41
Product 270,Toys/Educational,Nike,2,0,Great quality item number 270,13.56
Product 271,Electronics/Computers,Zara,2,0,Great quality item number 271,26.87
Product 272,Books/Fiction,HP,4,0,Great quality item number 272,25.16
Product 273,Home/Kitchen,Adidas,3,0,Great quality item number 273,42.05
Product 274,Beauty/Makeup,HP,4,1,Great quality item number 274,31.16
Product 275,Books/Educational,Nike,3,1,Great quality item number 275,104.72
Product 276,Sports/Outdoors,Dell,4,0,Great quality item number 276,26.07
Product 277,Clothing/Shoes,Generic,2,0,Great quality item number 277,19.03
Product 278,Sports/Outdoors,Samsung,3,1,Great quality item number 278,150.22
Product 279,Home/Furniture,Adidas,1,1,Great quality item number 279,32.03
Product 280,Sports/Fitness,Samsung,3,0,Great quality item number 280,20.8
Product 281,Home/Furniture,Sony,5,0,Great quality item number 281,18.1
Product 282,Electronics/Phones,Generic,1,1,Great quality item number 282,41.89
Product 283,Books/Educational,Apple,4,0,Great quality item number 283,71.0
Product 284,Sports/Fitness,H&M,5,1,Great quality item number 284,10.84
Product 285,Books/Fiction,Puma,1,0,Great quality item number 285,18.98
Product 286,Clothing/Shoes,Unknown,4,0,Great quality item number 286,7.03
Product 287,Electronics/Computers,Puma,3,1,Great quality item number 287,14.61
Product 288,Books/Educational,Unknown,4,0,Great quality item number 288,79.86
Product 289,Books/Educational,Zara,2,1,Great quality item number 289,36.08
Product 290,Home/Furniture,Samsung,1,1,Great quality item number 290,77.94
Product 291,Electronics/Phones,H&M,3,0,Great quality item number 291,29.44
Product 292,Beauty/Skincare,HP,4,1,Great quality item number 292,135.67
Product 293,Home/Kitchen,Unknown,3,0,Great quality item number 293,35.29
Product 294,Home/Furniture,H&M,3,0,Great quality item number 294,43.31
Product 295,Books/Educational,Sony,1,0,Great quality item number 295,64.67
Product 296,Toys/Games,HP,3,1,Great quality item number 296,18.14
Product 297,Clothing/Tops,Dell,1,1,Great quality item number 297,15.54
Product 298,Clothing/Shoes,Zara,3,0,Great quality item number 298,10.7
Product 299,Home/Kitchen,Adidas,3,1,Great quality item number 299,41.77
Product 300,Home/Furniture,Puma,4,1,Great quality item number 300,56.2
Product 301,Clothing/Shoes,Samsung,5,1,Great quality item number 301,19.77
Product 302,Clothing/Tops,HP,1,0,Great quality item number 302,5.03
Product 303,Beauty/Makeup,Unknown,2,1,Great quality item number 303,76.55
Product 304,Clothing/Tops,Nike,1,1,Great quality item number 304,43.56
Product 305,Clothing/Tops,Generic,3,1,Great quality item number 305,70.07
Product 306,Clothing/Shoes,Zara,5,0,Great quality item number 306,68.02
Product 307,Sports/Outdoors,Puma,1,0,Great quality item number 307,25.29
Product 308,Clothing/Shoes,Unknown,3,1,Great quality item number 308,47.17
Product 309,Beauty/Skincare,Apple,2,0,Great quality item number 309,61.48
Product 310,Electronics/Phones,Nike,4,0,Great quality item number 310,6.34
Product 311,Sports/Fitness,Puma,4,0,Great quality item number 311,55.11
Product 312,Sports/Outdoors,Adidas,1,0,Great quality item number 312,25.82
Product 313,Electronics/Computers,Puma,1,0,Great quality item number 313,18.18
Product 314,Sports/Fitness,HP,2,1,Great quality item number 314,10.64
Product 315,Electronics/Phones,Dell,4,1,Great quality item number 315,12.65
Product 316,Home/Furniture,Unknown,3,0,Great quality item number 316,52.65
Product 317,Home/Kitchen,Zara,1,1,Great quality item number 317,64.84
Product 318,Beauty/Skincare,Dell,5,1,Great quality item number 318,103.95
Product 319,Beauty/Skincare,Sony,4,0,Great quality item number 319,9.75
Product 320,Electronics/Computers,Sony,3,1,Great quality item number 320,26.73
Product 321,Sports/Outdoors,HP,4,0,Great quality item number 321,79.72
Product 322,Toys/Educational,Generic,2,1,Great quality item number 322,12.47
Product 323,Beauty/Makeup,Nike,5,0,Great quality item number 323,13.32
Product 324,Clothing/Tops,Nike,3,0,Great quality item number 324,28.47
Product 325,Sports/Outdoors,Generic,3,0,Great quality item number 325,30.38
Product 326,Home/Kitchen,Apple,1,1,Great quality item number 326,11.39
Product 327,Beauty/Makeup,Puma,2,1,Great quality item number 327,26.96
Product 328,Beauty/Skincare,H&M,2,1,Great quality item number 328,77.78
Product 329,Clothing/Shoes,Apple,3,0,Great quality item number 329,31.31
Product 330,Home/Kitchen,Zara,4,1,Great quality item number 330,51.14
Product 331,Electronics/Phones,Samsung,3,1,Great quality item number 331,49.65
Product 332,Electronics/Computers,Adidas,3,0,Great quality item number 332,19.61
Product 333,Electronics/Phones,Unknown,3,1,Great quality item number 333,51.53
Product 334,Toys/Educational,Apple,3,1,Great quality item number 334,57.92
Product 335,Home/Kitchen,Adidas,3,1,Great quality item number 335,21.56
Product 336,Books/Fiction,Generic,3,0,Great quality item number 336,51.3
Product 337,Books/Fiction,Puma,4,1,Great quality item number 337,155.41
Product 338,Home/Furniture,Generic,5,1,Great quality item number 338,34.86
Product 339,Sports/Outdoors,Adidas,5,1,Great quality item number 339,13.59
Product 340,Beauty/Skincare,HP,1,1,Great quality item number 340,59.66
Product 341,Beauty/Skincare,Sony,5,1,Great quality item number 341,8.83
Product 342,Clothing/Tops,Sony,4,0,Great quality item number 342,25.82
Product 343,Clothing/Tops,Puma,3,1,Great quality item number 343,73.44
Product 344,Clothing/Tops,Unknown,2,0,Great quality item number 344,36.33
Product 345,Clothing/Shoes,HP,4,0,Great quality item number 345,112.38
Product 346,Sports/Fitness,Puma,2,1,Great quality item number 346,19.96
Product 347,Books/Educational,Unknown,1,1,Great quality item number 347,27.5
Product 348,Sports/Fitness,Zara,4,0,Great quality item number 348,18.6
Product 349,Electronics/Phones,Adidas,3,0,Great quality item number 349,36.83
Product 350,Sports/Fitness,Adidas,3,1,Great quality item number 350,15.88
Product 351,Clothing/Shoes,Unknown,4,1,Great quality item number 351,14.49
Product 352,Home/Furniture,HP,4,1,Great quality item number 352,45.33
Product 353,Electronics/Phones,Adidas,3,0,Great quality item number 353,116.3
Product 354,Sports/Fitness,Generic,2,0,Great quality item number 354,10.63
Product 355,Clothing/Shoes,Adidas,4,0,Great quality item number 355,66.99
Product 356,Books/Educational,Dell,3,1,Great quality item number 356,87.67
Product 357,Sports/Fitness,Sony,5,1,Great quality item number 357,49.02
Product 358,Clothing/Shoes,HP,4,0,Great quality item number 358,20.03
Product 359,Toys/Educational,Apple,1,1,Great quality item number 359,6.93
Product 360,Clothing/Tops,Samsung,1,1,Great quality item number 360,5.92
Product 361,Toys/Educational,Adidas,4,1,Great quality item number 361,32.16
Product 362,Beauty/Skincare,Dell,3,0,Great quality item number 362,51.56
Product 363,Clothing/Tops,Dell,2,0,Great quality item number 363,15.91
Product 364,Beauty/Skincare,Unknown,4,0,Great quality item number 364,22.66
Product 365,Toys/Games,Dell,1,1,Great quality item number 365,13.66
Product 366,Electronics/Computers,Apple,2,1,Great quality item number 366,55.18
Product 367,Toys/Educational,Adidas,5,0,Great quality item number 367,53.25
Product 368,Electronics/Computers,Sony,2,1,Great quality item number 368,44.69
Product 369,Electronics/Computers,Adidas,5,1,Great quality item number 369,61.17
Product 370,Books/Educational,HP,1,0,Great quality item number 370,10.06
Product 371,Clothing/Tops,Zara,5,0,Great quality item number 371,22.71
Product 372,Toys/Games,Adidas,2,1,Great quality item number 372,55.74
Product 373,Beauty/Skincare,H&M,1,0,Great quality item number 373,98.66
Product 374,Clothing/Shoes,Apple,2,1,Great quality item number 374,54.16
Product 375,Electronics/Phones,HP,4,1,Great quality item number 375,72.2
Product 376,Clothing/Shoes,Adidas,2,1,Great quality item number 376,5.59
Product 377,Electronics/Phones,Zara,4,1,Great quality item number 377,47.55
Product 378,Toys/Educational,Unknown,4,0,Great quality item number 378,9.56
Product 379,Books/Fiction,Dell,5,1,Great quality item number 379,45.83
Product 380,Clothing/Shoes,Nike,4,0,Great quality item number 380,7.23
Product 381,Sports/Fitness,Nike,5,1,Great quality item number 381,15.49
Product 382,Sports/Fitness,Apple,4,0,Great quality item number 382,39.45
Product 383,Sports/Outdoors,Generic,1,0,Great quality item number 383,11.46
Product 384,Clothing/Tops,Dell,5,1,Great quality item number 384,51.07
Product 385,Electronics/Phones,Unknown,2,1,Great quality item number 385,7.79
Product 386,Electronics/Phones,Dell,5,1,Great quality item number 386,57.89
Product 387,Home/Kitchen,Dell,1,1,Great quality item number 387,30.32
Product 388,Home/Furniture,HP,4,0,Great quality item number 388,5.56
Product 389,Clothing/Tops,Adidas,1,1,Great quality item number 389,13.78
Product 390,Books/Educational,Nike,3,1,Great quality item number 390,24.76
Product 391,Sports/Outdoors,HP,1,0,Great quality item number 391,35.87
Product 392,Books/Educational,Adidas,1,1,Great quality item number 392,38.61
Product 393,Toys/Educational,Generic,1,1,Great quality item number 393,72.61
Product 394,Toys/Educational,Adidas,2,0,Great quality item number 394,22.3
Product 395,Books/Educational,HP,2,0,Great quality item number 395,5.38
Product 396,Books/Educational,Zara,1,0,Great quality item number 396,14.31
Product 397,Toys/Games,HP,3,1,Great quality item number 397,7.93
